"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000130707.13",6337.77834760816,0.643302026196099,0.216305774034576,2.97404000918288,0.00293906750594029,0.0201048889383574,"ASS1","445"
"ENSG00000163697.12",6943.84418548267,0.524623409865204,0.17641804185577,2.9737514618494,0.00294183250388517,0.0201194800416087,"APBB2","323"
"ENSG00000176896.7",303.259326799548,-0.582999357492209,0.196076547055498,-2.9733252969168,0.00294592056129756,0.0201431114668104,"TCEANC","170082"
"ENSG00000005102.8",323.762504005375,-1.43667255660464,0.483223441232729,-2.97310195246242,0.00294806509952979,0.0201534465339554,"MEOX1","4222"
"ENSG00000198556.9",1140.2617355735,-0.480862625180395,0.161744082175429,-2.97298435103702,0.00294919487285667,0.0201568415569483,"ZNF789","285989"
"ENSG00000079950.9",5369.33887693547,-0.429019998122352,0.144318377896224,-2.97273295595693,0.00295161130010848,0.0201597920059773,"STX7","8417"
"ENSG00000255443.1",54.9140547167952,-1.33077278408753,0.447664212349687,-2.97270308274724,0.00295189856357519,0.0201597920059773,NA,NA
"ENSG00000225796.2",9.10702265123318,-1.46635684063432,0.493275218202789,-2.97269513351367,0.00295197500841637,0.0201597920059773,NA,NA
"ENSG00000228446.2",29.8135280253739,-1.24469290639505,0.418711264916802,-2.97267594804829,0.00295215951538718,0.0201597920059773,NA,NA
"ENSG00000115486.7",2728.26633572807,0.318997497051526,0.107334963480181,2.97198123247537,0.00295884770144385,0.0201983206607378,"GGCX","2677"
"ENSG00000163349.17",6412.75356006418,0.407131471644327,0.13699098559043,2.97195811746003,0.00295907047247396,0.0201983206607378,"HIPK1","204851"
"ENSG00000070087.9",5022.43364646501,0.610333159252254,0.205405949675239,2.97135092833111,0.0029649277434316,0.0202339634812194,"PFN2","5217"
"ENSG00000210194.1",31.2157976810576,2.47558309189761,0.833366184911113,2.97058260428656,0.00297235456997666,0.0202803000621039,NA,NA
"ENSG00000169955.6",1130.95922825676,0.411879301541941,0.138662854074014,2.97036509375533,0.00297446016581928,0.0202903179427947,"ZNF747","65988"
"ENSG00000259652.1",5.79659469701519,-2.02154163722704,0.680650518907682,-2.97001409838229,0.00297786082269046,0.0203091639141331,NA,NA
"ENSG00000251259.1",11.7982080570856,-1.21947155670342,0.410710431407239,-2.96917600199509,0.00298599516271536,0.0203602788606139,NA,NA
"ENSG00000097046.8",397.504754916648,-0.903208559495715,0.304298203967399,-2.96816920941302,0.0029957936239141,0.0204227164477365,"CDC7","8317"
"ENSG00000141401.7",1323.02896957994,0.630293292029442,0.212376948476709,2.96780463487338,0.00299934902021636,0.0204425766233372,"IMPA2","3613"
